,State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,sex_ratio,literacy_rate
96,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,CHHATTISGARH,2663629,1351574,1312055,932474,664086,2540763,57973,20745,6373,2979,2357,32439,77727,519704,8566,30892,549632,188174,737806,971.0,60.0
97,Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,CHHATTISGARH,799781,397897,401884,303924,242909,777188,10425,2644,1196,667,3612,4049,14568,148926,1016,4804,168689,41792,210481,1010.0,68.0
98,Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,CHHATTISGARH,3343872,1682101,1661771,1284612,1018766,3129745,83499,24304,24276,19587,17209,45252,129193,614109,16141,51289,533448,349741,883189,988.0,69.0
99,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,CHHATTISGARH,851669,424747,426922,280656,214759,629509,15336,189588,474,467,694,15601,6628,76783,567,5755,205670,20722,226392,1005.0,58.0
100,Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,CHHATTISGARH,1206640,612915,593725,433391,315368,1133176,30195,21059,3666,897,753,16894,43357,202380,4544,18004,206598,126055,332653,969.0,62.0
101,Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,CHHATTISGARH,658917,334737,324180,229923,167900,604259,25878,9398,1391,84,1155,16752,25605,80023,1667,7609,121852,59763,181615,968.0,60.0
102,Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,CHHATTISGARH,1032754,511967,520787,364089,273874,1008061,12570,5284,2941,521,1495,1882,13200,212487,961,5614,274793,35774,310567,1017.0,62.0
103,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,CHHATTISGARH,1493984,750278,743706,542756,408883,1422986,17332,47653,2117,781,409,2706,27771,297308,3342,13857,354278,66638,420916,991.0,64.0
104,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,MAHARASHTRA,2634200,1344345,1289855,1059692,880302,2239370,227465,17452,7477,121791,12260,8385,328277,547206,38570,96301,581868,377160,959028,959.0,74.0
105,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,CHHATTISGARH,1493984,750278,743706,542756,408883,1422986,17332,47653,2117,781,409,2706,27771,297308,3342,13857,354278,66638,420916,991.0,64.0
106,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,MAHARASHTRA,2634200,1344345,1289855,1059692,880302,2239370,227465,17452,7477,121791,12260,8385,328277,547206,38570,96301,581868,377160,959028,959.0,74.0
107,Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,CHHATTISGARH,4063872,2048186,2015686,1493158,1136591,3881485,103038,23181,16707,8397,17137,13927,166505,728556,20261,59523,673499,395001,1068500,984.0,65.0
108,Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,CHHATTISGARH,2359886,1193129,1166757,694686,493255,2126195,81442,97432,2303,1287,623,50604,29433,253131,2737,18983,525596,65167,590763,978.0,50.0
109,Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,DAMAN AND DIU,191173,124659,66514,104316,46032,171537,16087,2618,169,216,244,302,25844,49249,1316,4543,10006,61073,71079,534.0,79.0
110,Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,GUJARAT,2743082,1404356,1338726,1046981,795837,2397056,334858,2586,1110,1291,3841,2340,144561,498326,6628,26991,489237,287506,776743,953.0,67.0
111,Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,GUJARAT,2743082,1404356,1338726,1046981,795837,2397056,334858,2586,1110,1291,3841,2340,144561,498326,6628,26991,489237,287506,776743,953.0,67.0
112,Goa,North Goa,15.548723418714054,73.80667997909038,585,GOA,818008,416677,401331,351738,311322,622213,57941,134169,618,553,546,1968,132612,173951,23440,56266,115859,209230,325089,963.0,81.0
113,Goa,South Goa,15.195278658183785,73.941792596877,586,GOA,640537,322463,318074,264085,238342,341664,63623,231961,855,542,563,1329,102191,138810,17624,44299,88620,162873,251493,986.0,78.0
114,Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,GUJARAT,7214225,3788051,3426174,3025463,2410297,6042416,883238,50754,14542,4518,209287,9470,965017,1456046,126341,273651,353169,1845383,2198552,904.0,75.0
115,Gujarat,Amreli,21.04832649310872,71.43457637825426,480,GUJARAT,1514190,771049,743141,558180,437279,1410463,99105,919,415,243,2053,992,80378,273331,2538,12765,313714,116899,430613,964.0,66.0
116,Gujarat,Anand,22.282718206229863,72.57782051557454,482,GUJARAT,2092745,1087224,1005521,874481,676772,1798794,250919,29789,1524,267,8591,2861,147122,378310,9902,32523,413078,208909,621987,925.0,74.0
117,Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,GUJARAT,3120506,1610379,1510127,1048402,656521,2890305,213505,1686,486,281,12659,1584,84832,396873,3424,23149,666773,137424,804197,938.0,55.0
118,Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,GUJARAT,1551019,805707,745312,623047,495229,1188204,343511,9494,1733,442,4813,2822,121542,309091,10257,29531,300677,181319,481996,925.0,72.0
119,Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,GUJARAT,2880365,1490201,1390164,1087371,799884,2632574,212863,3457,1410,445,26974,2642,171327,500757,7297,28925,387251,356826,744077,933.0,66.0
120,Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,GUJARAT,1391753,723864,667889,582686,447808,1319586,57273,3237,1985,497,6405,2770,132683,262539,12107,33662,237624,195634,433258,923.0,74.0
121,Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,GUJARAT,2160119,1114192,1045927,795140,601394,1810443,320805,4392,1873,1086,18856,2664,142974,386538,11573,30384,347158,299167,646325,939.0,65.0
122,Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,GUJARAT,2092371,1096737,995634,739239,513080,1608921,442355,6192,6353,490,25312,2748,140067,403294,9631,31961,488293,250982,739275,908.0,60.0
123,Gujarat,Kheda,22.88765312500002,73.018803515625,483,GUJARAT,2299885,1185727,1114158,942480,717763,2000884,264482,26629,1403,300,3479,2708,99982,372226,5710,24502,461479,160547,622026,940.0,72.0
124,Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,GUJARAT,2035064,1056520,978544,847499,655146,1885732,136431,1954,1082,146,7087,2632,180985,385609,7759,33731,476005,183738,659743,926.0,74.0
125,Gujarat,Narmada,21.70666386292833,73.68403208722742,487,GUJARAT,590297,301086,289211,211767,158569,559848,22600,4413,147,80,373,2836,12997,101940,576,4081,138121,22248,160369,961.0,63.0
126,Gujarat,Navsari,20.866973318871995,72.86184869848157,490,GUJARAT,1329672,678165,651507,539471,462438,1225087,78669,5733,2459,601,13386,3737,114620,267679,6726,24397,267739,141417,409156,961.0,75.0
127,Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,GUJARAT,2390776,1226961,1163815,858054,582751,2220974,158513,2863,662,337,5236,2191,59096,398937,3456,19753,463363,104238,567601,949.0,60.0
128,Gujarat,Patan,23.80634198473284,71.75162977099237,470,GUJARAT,1343734,694397,649337,494631,343282,1194745,142797,916,337,66,3602,1271,66310,223424,2231,12870,301483,102655,404138,935.0,62.0
129,Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,GUJARAT,585449,300209,285240,221621,172057,549749,33565,500,248,91,515,781,41686,117040,1653,5639,96015,87557,183572,950.0,67.0
130,Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,GUJARAT,3804558,1974445,1830113,1514075,1210981,3397406,361388,5478,1918,1170,33591,3607,362140,747352,21785,67370,459474,721532,1181006,927.0,72.0
131,Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,GUJARAT,2428589,1244231,1184358,918625,660109,2260560,148563,6375,614,168,11110,1199,99037,438606,5262,25425,544024,121509,665533,952.0,65.0
132,Gujarat,Surat,21.25761372772093,72.93488716344339,492,GUJARAT,6081322,3402224,2679098,2687468,1883942,5260193,660772,21052,5703,12902,112835,7865,815423,1252452,55694,149331,369840,1529998,1899838,787.0,75.0
133,Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,GUJARAT,1756268,909917,846351,643221,450405,1620282,109681,1419,512,312,22992,1070,77857,302068,2975,15309,340788,159810,500598,930.0,62.0
134,Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,GUJARAT,228291,113821,114470,77314,63654,203545,3593,20029,69,32,39,984,2029,29794,137,1393,52102,7516,59618,1006.0,62.0
135,Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,GUJARAT,4165626,2153736,2011890,1614087,1278993,3713941,384579,23813,9340,2069,27650,4234,411734,798277,53606,117818,547454,692971,1240425,934.0,69.0
136,Gujarat,Valsad,20.44238231644259,72.9148584798345,491,GUJARAT,1705678,887222,818456,655528,515129,1571147,94034,19661,1589,913,13809,4525,137209,329218,11020,31285,262410,235981,498391,922.0,69.0
137,Haryana,Ambala,30.3503672316384,76.94970310734456,70,HARYANA,1128350,598703,529647,461288,356737,955096,22143,3705,138202,381,4845,3978,121622,199681,12899,32767,175365,139891,315256,885.0,72.0
138,Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,HARYANA,1634445,866672,767773,643158,426713,1611031,15515,873,2401,254,1016,3355,88938,266244,5292,25236,357047,99235,456282,886.0,65.0
139,Haryana,Faridabad,28.14873109756098,77.32718536585368,88,HARYANA,1809733,966110,843623,734940,537799,1588407,161680,9743,34572,640,4883,9808,258422,333171,43437,82673,87700,382981,470681,873.0,70.0
140,Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,HARYANA,942011,495360,446651,327471,230107,779243,8360,996,150969,171,1172,1100,51693,153301,3210,13142,203020,55360,258380,902.0,59.0
141,Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,HARYANA,1514432,816690,697742,638666,472450,1408801,70842,9725,15097,944,7451,1572,238359,305751,67087,102343,141703,381988,523691,854.0,73.0
142,Haryana,Hisar,29.23628731117825,75.84324682779452,80,HARYANA,1743931,931562,812369,670200,444111,1701061,21650,1945,12270,334,3620,3051,110495,285004,10132,33400,302013,154113,456126,872.0,64.0
143,Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,HARYANA,958405,514667,443738,399480,276611,945693,8247,734,1042,105,645,1939,70149,168558,5034,19241,211816,78328,290144,862.0,71.0
144,Haryana,Jind,29.45149821958457,76.29598575667653,77,HARYANA,1334152,713006,621146,502049,330709,1276669,23016,889,29103,172,2594,1709,78386,222462,5263,23750,278335,89665,368000,871.0,62.0
145,Haryana,Kaithal,29.96068539094649,76.37698930041155,73,HARYANA,1074304,571003,503301,385782,260747,974520,8232,1769,87558,265,351,1609,62668,187349,3724,15301,231091,75696,306787,881.0,60.0
146,Haryana,Karnal,29.703200647249204,76.87488025889972,74,HARYANA,1505324,797712,707612,564516,413497,1341002,31650,2049,126207,532,1516,2368,143133,267223,11163,29253,292682,135920,428602,887.0,65.0
147,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,HARYANA,964655,510976,453679,370828,276065,805175,15970,1943,140395,214,375,583,90150,171908,7356,21951,203553,88268,291821,888.0,67.0
148,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,HARYANA,922088,486665,435423,380440,249815,913251,5660,301,1737,75,644,420,45359,135455,2624,13908,223726,44216,267942,895.0,68.0
149,Haryana,Panchkula,30.700897142857134,76.97173238095236,69,HARYANA,561293,299679,261614,229862,175456,490702,23451,2583,40951,1008,1626,972,69687,103455,18615,32174,70895,93656,164551,873.0,72.0
150,Haryana,Panipat,29.34352134146342,76.92895914634147,75,HARYANA,1205437,646857,558580,464136,322463,1083936,86622,2261,25064,289,4647,2618,121846,209965,10024,26719,173502,153804,327306,864.0,65.0
151,Haryana,Rewari,28.19164714828897,76.55956007604564,85,HARYANA,900332,474335,425997,375453,261494,889133,5713,701,1804,202,1525,1254,62667,152651,5121,18092,199449,69305,268754,898.0,71.0
152,Haryana,Rohtak,28.892517647058817,76.53123235294117,82,HARYANA,1061204,568479,492725,436025,311557,1043887,8185,732,3916,200,3491,793,94633,193120,8482,27225,175203,131739,306942,867.0,70.0
153,Haryana,Sirsa,29.63583446327684,74.90970480225988,79,HARYANA,1295189,682582,612607,456968,325929,940255,9524,2186,338962,370,2256,1636,70538,215527,6287,22706,245476,93316,338792,897.0,60.0
154,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,HIMACHAL PRADESH,519080,261320,257760,186064,137778,479782,32455,1559,2745,1740,57,742,21458,96082,1615,5117,186395,13836,200231,986.0,62.0
155,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,HIMACHAL PRADESH,454768,217070,237698,180555,177536,449412,3711,243,591,95,293,423,34978,104120,2521,7525,196116,15232,211348,1095.0,79.0
156,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,UTTAR PRADESH,1104285,593537,510748,408125,245174,1010014,91269,814,196,74,41,1877,20175,55929,1196,11037,256081,55300,311381,861.0,59.0
157,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,HIMACHAL PRADESH,454768,217070,237698,180555,177536,449412,3711,243,591,95,293,423,34978,104120,2521,7525,196116,15232,211348,1095.0,79.0
158,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,UTTAR PRADESH,1104285,593537,510748,408125,245174,1010014,91269,814,196,74,41,1877,20175,55929,1196,11037,256081,55300,311381,861.0,59.0
159,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,HIMACHAL PRADESH,1510075,750591,759484,606443,546197,1461140,19797,3023,8929,14511,194,2481,148361,330081,8053,22753,588321,39007,627328,1012.0,76.0
160,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,HIMACHAL PRADESH,84121,46249,37872,36697,24002,64732,448,485,249,18086,29,92,10740,17865,354,2563,44514,0,44514,819.0,72.0
161,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,HIMACHAL PRADESH,437903,225452,212451,174550,133122,415669,2974,1568,1396,15377,94,825,40064,91322,2623,7010,167995,20709,188704,942.0,70.0
162,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,HIMACHAL PRADESH,999777,498065,501712,393669,330078,981412,9460,876,4081,2628,43,1277,59324,214491,5333,16401,431129,31696,462825,1007.0,72.0
163,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,HIMACHAL PRADESH,814010,425039,388971,342846,269796,791449,11810,2025,4047,3262,185,1232,108888,172754,9177,24127,279269,95896,375165,915.0,75.0
164,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,HIMACHAL PRADESH,529855,276289,253566,205617,157028,476830,33215,577,15501,2645,236,851,28904,91509,2220,8593,171102,21054,192156,918.0,68.0
165,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,HIMACHAL PRADESH,580320,308754,271566,244372,184206,548579,14678,1452,13926,574,591,520,53722,119866,5250,14478,192787,51509,244296,880.0,74.0
166,Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,HIMACHAL PRADESH,521173,263692,257481,213281,186434,480138,14275,390,26009,56,70,235,43809,105929,2412,8238,185091,20126,205217,976.0,77.0
167,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,JAMMU AND KASHMIR,409936,213641,196295,138620,80463,187621,220614,472,422,21,22,764,7963,61831,596,3077,122267,11350,133617,919.0,53.0
168,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,JAMMU AND KASHMIR,1529958,813821,716137,641916,495219,1289240,107489,12104,114272,470,1987,4396,197168,294739,19905,46657,254566,248043,502609,880.0,74.0
169,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,JAMMU AND KASHMIR,140802,77785,63017,56301,29935,10341,108239,604,1171,20126,28,293,3285,15824,235,1005,40370,7774,48144,810.0,61.0
170,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,JAMMU AND KASHMIR,616435,326109,290326,228499,160705,540063,64234,1828,9551,24,16,719,32772,109422,1443,6112,181374,33473,214847,890.0,63.0
171,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,JAMMU AND KASHMIR,560440,293064,267376,178326,115632,13840,535159,1109,9440,35,6,851,16828,73629,1537,5293,147520,21703,169223,912.0,52.0
172,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,JAMMU AND KASHMIR,476835,251899,224936,163333,98391,32604,431279,958,11188,83,10,713,13160,62900,346,3342,132139,15269,147408,893.0,55.0
173,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,JAMMU AND KASHMIR,1236829,651124,585705,431746,316838,42540,1177342,2746,12187,285,74,1655,138119,165403,16413,33831,4518,257721,262239,900.0,61.0
174,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,JAMMU AND KASHMIR,554985,296784,258201,197543,124811,489044,59771,1962,3418,106,57,627,20008,73999,1214,5744,148664,34696,183360,870.0,58.0
175,Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,JHARKHAND,2062330,1072807,989523,759088,514432,1636460,241451,13730,4174,1890,2045,162580,67157,274726,9754,37997,250312,258452,508764,922.0,62.0
176,Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,JHARKHAND,1042886,533935,508951,303902,206159,903179,116710,6565,888,35,129,15380,5307,27037,590,9115,200974,14528,215502,953.0,49.0
177,Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,JHARKHAND,1492073,775022,717051,489837,303701,1165140,302626,6027,143,188,282,17667,26760,130193,1944,13550,257373,64337,321710,925.0,53.0
178,Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,JHARKHAND,2684487,1405956,1278531,1014950,707254,2149480,431762,11243,9727,331,1268,80676,83995,427173,11568,46646,258764,405455,664219,909.0,64.0
179,Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,JHARKHAND,1321442,668514,652928,406275,266134,1044726,106865,86404,234,267,162,82784,11836,62110,1193,10396,303697,23281,326978,977.0,51.0
180,Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,JHARKHAND,1322784,683575,639209,405161,248315,1104475,194680,17168,123,371,20,5947,6798,29373,565,8881,272872,19180,292052,935.0,49.0
181,Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,JHARKHAND,2445474,1258098,1187376,783736,469739,1856202,508586,14645,937,650,1503,62951,16909,125431,1944,19976,452564,46886,499450,944.0,51.0
182,Jharkhand,Godda,24.8189,87.2941735483871,351,JHARKHAND,1313551,677927,635624,376212,228307,937126,289182,37795,97,128,115,49108,7421,43230,874,11925,276454,15576,292030,938.0,46.0
183,Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,JHARKHAND,1025213,514390,510823,321795,237925,309563,51429,202449,221,531,23,460997,9108,31687,831,7807,216629,16445,233074,993.0,55.0
184,Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,JHARKHAND,791042,404830,386212,258260,168052,550560,164406,4419,520,118,783,70236,5564,49419,808,4959,165555,20113,185668,954.0,54.0
185,Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,JHARKHAND,726978,369666,357312,209706,140976,473049,69808,47653,120,128,16,136204,2177,38194,340,6240,146377,14137,160514,967.0,48.0
186,Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,JHARKHAND,461790,232629,229161,149568,110139,112378,95012,16770,51,33,15,237531,8016,28769,351,2954,96759,14725,111484,985.0,56.0
187,Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,JHARKHAND,900422,452661,447761,206989,145892,410127,322963,75865,356,283,222,90606,5316,31414,328,4535,200588,16587,217175,989.0,39.0
188,Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,JHARKHAND,1939869,1006302,933567,621706,402857,1683169,238295,6164,734,188,284,11035,17270,68238,2155,19981,355529,52375,407904,928.0,53.0
189,Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,JHARKHAND,2914253,1494937,1419316,1085244,826189,1612239,410759,193974,4826,932,2733,688790,164237,350908,22538,76565,420740,310242,730982,949.0,66.0
190,Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,JHARKHAND,1150567,589391,561176,287303,195960,628044,398243,83208,198,245,125,40504,11545,34879,591,9563,223450,37543,260993,952.0,42.0
191,Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,JHARKHAND,599578,300309,299269,191991,151492,201524,15103,306601,51,753,114,75432,3472,16865,423,4649,144169,11114,155283,997.0,57.0
192,Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,KARNATAKA,1889752,950111,939641,641388,472024,1634229,219991,3433,443,412,25198,6046,49345,301389,3745,26297,324799,165858,490657,989.0,59.0
193,Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,KARNATAKA,990923,509172,481751,385311,303438,890429,92252,5368,389,272,1045,1168,77454,214253,3729,17066,231052,95410,326462,946.0,70.0
194,Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,KARNATAKA,4779661,2423063,2356598,1725548,1326484,4038331,528412,18418,2037,1086,178310,13067,240742,808827,17560,73497,962777,356198,1318975,973.0,64.0
195,Karnataka,Bellary,15.074377548209377,76.47228471074374,565,KARNATAKA,2452595,1236954,1215641,813440,608181,2103633,320834,14014,1029,284,8044,4757,114040,440374,9626,40190,371604,251876,623480,983.0,58.0
196,Karnataka,Bidar,17.950361730769224,77.19459961538459,558,KARNATAKA,1703300,870665,832635,597198,445475,1289709,335184,35438,1145,30453,680,10691,34924,271439,3971,36072,287134,102269,389403,956.0,61.0
197,Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,CHHATTISGARH,255230,128663,126567,54076,32843,245151,1617,2709,68,1649,15,4021,1022,12516,117,1462,50449,7942,58391,984.0,34.0
198,Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,KARNATAKA,2177331,1111022,1066309,730566,517702,1786830,369588,2433,558,374,8665,8883,58890,326594,4987,36571,396449,131041,527490,960.0,57.0
199,Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,KARNATAKA,1137961,566622,571339,438257,380088,1004553,101235,26000,182,109,4710,1172,74534,238505,4510,18727,311660,80766,392426,1008.0,72.0
200,Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,KARNATAKA,1659456,840843,818613,607188,480204,1520553,128751,3175,322,84,3778,2793,60522,307257,5711,28897,349704,97644,447348,974.0,66.0
201,Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,KARNATAKA,1945497,986400,959097,720637,587903,1658465,265805,5420,307,164,6417,8919,100812,372671,7320,39416,354680,176011,530691,972.0,67.0
202,Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,KARNATAKA,1847023,937206,909817,711776,589888,1390020,386834,28747,1486,715,29037,10184,140584,347962,15013,49585,199707,283397,483104,971.0,70.0
203,Karnataka,Gadag,15.507128256880746,75.64861302752298,561,KARNATAKA,1064570,537147,527423,397178,302999,907750,143665,3432,231,79,5993,3420,31959,198064,3373,15625,180066,111906,291972,982.0,66.0
204,Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,KARNATAKA,2566326,1301755,1264571,828359,599009,2011014,513125,8344,826,9589,4865,18563,77334,404767,9752,52483,400704,199303,600007,971.0,56.0
205,Karnataka,Hassan,12.945098749999998,76.11049549999997,574,KARNATAKA,1776421,883667,892754,668836,556420,1630814,120011,15611,289,623,5820,3253,90599,400702,4851,23444,496103,132878,628981,1010.0,69.0
206,Karnataka,Haveri,14.737582809224318,75.3961230607966,564,KARNATAKA,1597668,819128,778540,603793,481650,1281878,297927,2406,419,68,9834,5136,41517,295937,2456,17819,315076,98488,413564,950.0,68.0
207,Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,KARNATAKA,554519,274608,279911,215302,197575,448986,87274,17130,139,126,250,614,40958,113931,3308,10758,181182,31792,212974,1019.0,74.0
208,Karnataka,Kolar,13.312799881235172,78.01376947743476,581,KARNATAKA,1536401,776396,760005,564110,452109,1305431,199873,26722,253,150,2494,1478,72407,309494,5051,27235,326567,151042,477609,979.0,66.0
209,Karnataka,Koppal,15.651253271028034,76.1617048598131,560,KARNATAKA,1389920,699926,689994,468785,340300,1218024,161770,4081,296,85,2898,2766,31673,223166,2135,15263,272968,64681,337649,986.0,58.0
210,Karnataka,Mandya,12.574901806239744,76.81570098522172,573,KARNATAKA,1805769,905085,900684,638668,510981,1712695,77801,8506,322,299,3607,2539,80452,391033,3367,20265,458867,103435,562302,995.0,64.0
211,Karnataka,Mysore,12.248100259403367,76.52881802853437,577,KARNATAKA,3001127,1511600,1489527,1063766,898414,2631985,290549,39361,1255,16194,14419,7364,273706,640868,28397,80086,540596,380386,920982,985.0,65.0
212,Karnataka,Raichur,16.050795353982295,76.87368606194688,559,KARNATAKA,1928812,964511,964301,577213,402556,1634062,272022,10394,538,2265,4156,5375,51443,314547,5200,33903,330446,125402,455848,1000.0,51.0
213,Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,KARNATAKA,1752753,877415,875338,674938,588078,1479424,234664,26521,400,120,9234,2390,128087,363835,8791,35207,352444,201662,554106,998.0,72.0
214,Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,KARNATAKA,2678980,1350594,1328386,1006024,807367,2413812,245923,9130,477,187,5067,4384,116539,562769,7971,41751,685443,204799,890242,984.0,68.0
215,Karnataka,Udupi,13.450404228534568,74.72009990316337,569,KARNATAKA,1177361,562131,615230,465704,460725,1009179,96740,65838,232,161,4534,677,83810,224814,9070,24817,269817,115572,385389,1094.0,79.0
216,Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,KERALA,2127789,1013142,1114647,890552,962245,1460447,224545,435056,268,146,74,7253,274392,507913,28842,71593,331419,392117,723536,1100.0,87.0
217,Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,KERALA,3282388,1619557,1662831,1425723,1429953,1509557,514397,1248137,860,614,1176,7647,499291,771287,88737,184167,369694,804997,1174691,1027.0,87.0
218,Kerala,Idukki,9.80480963855423,77.04586641566264,596,KERALA,1108974,552808,556166,471881,451129,541854,82206,481507,100,189,44,3074,54626,244844,8250,24863,391610,20823,412433,1006.0,83.0
219,Kerala,Kannur,11.941523076923056,75.35209891725934,589,KERALA,2523003,1181446,1341557,1012956,1125478,1509592,742483,262526,424,1118,193,6667,115356,511167,32653,83940,306288,566191,872479,1136.0,85.0
220,Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,KERALA,1307375,628613,678762,516476,521016,729987,486913,87454,151,362,130,2378,74092,237670,10378,32484,251641,166164,417805,1080.0,79.0
221,Kerala,Kollam,8.929388820570157,76.6360775852431,600,KERALA,2635375,1246968,1388407,1074345,1165928,1697635,508500,421598,208,272,63,7099,263148,630767,31542,83133,523715,401415,925130,1113.0,85.0
222,Kerala,Kottayam,9.643701174068417,76.46059673302705,597,KERALA,1974551,968289,1006262,861592,888206,983598,126499,858608,204,358,83,5201,187213,464039,37849,83999,481967,196194,678161,1039.0,89.0
223,Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,KERALA,3086293,1470942,1615351,1266939,1348504,1734958,1211131,131516,297,235,601,7555,145558,641660,36791,107602,323793,666543,990336,1098.0,85.0
224,Kerala,Malappuram,10.97329875666072,75.93910775606876,592,KERALA,4112920,1960328,2152592,1597404,1713911,1135259,2888849,81556,205,179,68,6804,139994,730119,27909,119918,634543,522586,1157129,1098.0,81.0
225,Kerala,Palakkad,10.784926903553291,76.49980490693744,593,KERALA,2809934,1359478,1450456,1122600,1116892,1875980,812936,114397,220,238,78,6085,178386,587583,27162,69440,665899,228442,894341,1067.0,80.0
